kind,operator,bytes,theoretical_ms,effective_bandwidth_gbps_reference,tokens_per_expert,m,k,n,dtype,flops,measured_ms,achieved_tflops,peak_tflops_reference
io,host_device_tensor_transfer,4000,0.001,4.0,,,,,,,,,
io,host_device_tensor_transfer,64000,0.016,4.0,,,,,,,,,
io,host_device_tensor_transfer,1000000,0.25,4.0,,,,,,,,,
io,host_device_tensor_transfer,16000000,4.0,4.0,,,,,,,,,
compute,expert_gate_projection,,2.1254918918918917e-05,,1,1,2048,768,bfloat16,3145728,0.019679999351501463,0.1598439077062266,148.0
compute,expert_up_projection,,2.1254918918918917e-05,,1,1,2048,768,bfloat16,3145728,0.018892799317836762,0.1665040710526209,148.0
compute,expert_down_projection,,2.1254918918918917e-05,,1,1,768,2048,bfloat16,3145728,0.019721600413322448,0.15950673039065227,148.0
compute,expert_gate_projection,,8.501967567567567e-05,,4,4,2048,768,bfloat16,12582912,0.06470400094985962,0.194468839875153,148.0
compute,expert_up_projection,,8.501967567567567e-05,,4,4,2048,768,bfloat16,12582912,0.03709439933300018,0.3392132566170414,148.0
compute,expert_down_projection,,8.501967567567567e-05,,4,4,768,2048,bfloat16,12582912,0.01802240014076233,0.6981818127287321,148.0
compute,expert_gate_projection,,0.00034007870270270267,,16,16,2048,768,bfloat16,50331648,0.03497599959373474,1.4390338684992414,148.0
compute,expert_up_projection,,0.00034007870270270267,,16,16,2048,768,bfloat16,50331648,0.03046720027923584,1.6519945232480808,148.0
compute,expert_down_projection,,0.00034007870270270267,,16,16,768,2048,bfloat16,50331648,0.02096319943666458,2.4009525908516656,148.0
